=== READER-1 GAPS: Recon & Process (60 gaps) ===

GAP-R1-001 | HIGH | Recon | Nmap ACK scan for UFW bypass missing - TCP-ACK scan (-sA) identifies unfiltered ports even when SYN is blocked
GAP-R2-017 | MEDIUM | Web Proxy | Burp Scanner scope and intensity management
GAP-R2-018 | MEDIUM | Footprinting | NFS export options testing - no_root_squash vs all_squash workflow
GAP-R2-019 | MEDIUM | Web Enumeration | Nikto/Whatweb output interpretation and follow-up actions
GAP-R2-020 | MEDIUM | Web Proxy | ZAP vs Burp feature parity and when to switch tools
GAP-R2-021 | MEDIUM | Footprinting | IPMI hash format (RAKP) and hashcat mode 7300
GAP-R2-022 | MEDIUM | Web Enumeration | Arjun vs ffuf for parameter discovery - JS rendering detection
GAP-R2-023 | MEDIUM | Web Enumeration | Technology fingerprinting → plugin enumeration chain (wpscan/joomscan/droopescan)
GAP-R2-024 | LOW | Web Enumeration | Feroxbuster wordlist sizing and extension filtering
GAP-R2-025 | LOW | Footprinting | MSSQL xp_cmdshell vs linked servers priority
GAP-R2-026 | LOW | Footprinting | Oracle TNS ODAT sub-commands and SID guessing
GAP-R2-027 | LOW | Web Enumeration | robots.txt and sitemap.xml as first-step discovery
GAP-R2-028 | LOW | Footprinting | Rsync module enumeration and file hunting workflow
GAP-R2-029 | LOW | Footprinting | Oracle TNS listener version extraction and CVE mapping
GAP-R2-030 | LOW | Web Enumeration | Gau (Get All URLs) Wayback Machine integration
GAP-R2-031 | LOW | Web Proxy | Burp Intruder Grep-Match feature for response filtering
GAP-R2-032 | LOW | Footprinting | R-Services .rhosts trust model exploitation
GAP-R2-033 | LOW | Web Enumeration | CMS version detection failure modes and manual verification
GAP-R2-034 | LOW | Web Proxy | Burp proxy history filtering and search techniques
GAP-R2-035 | LOW | Footprinting | SNMP community string brute-force fallback strategy

=== READER-3 GAPS: Web Exploitation (16 gaps) ===

GAP-R3-001 | HIGH | SQLi | Missing SQLi detection decision tree - which technique to try first (error → boolean → time)
GAP-R3-002 | HIGH | Command Injection | Filter bypass priority matrix - RANK1 whitespace → RANK2 encoding → RANK3 obfuscation
GAP-R3-003 | HIGH | XSS | XSS type detection flowchart - reflected vs stored vs DOM before payload selection
GAP-R3-004 | HIGH | LFI | LFI bypass selection matrix based on PHP version and server config
GAP-R3-005 | HIGH | File Upload | Upload validation detection roadmap - identify which validation before bypassing
GAP-R3-006 | MEDIUM | SQLi | SQLMap command templates for 8 exam scenarios (GET, POST+CSRF, time-based, WAF)
GAP-R3-007 | MEDIUM | XSS | Cookie theft bypass for HttpOnly/SameSite - pivot to phishing/keylogger/CSRF
GAP-R3-008 | MEDIUM | IDOR | IDOR enumeration strategy matrix - sequential vs UUID vs hash vs base64
GAP-R3-009 | MEDIUM | XXE | XXE blind OOB exploitation payloads - HTTP callback and DNS exfiltration
GAP-R3-010 | HIGH | Methodology | Vulnerability fallback tree - what to try next when first vector fails
GAP-R3-011 | MEDIUM | SQLi | SQLi WAF detection and tamper script selection matrix
GAP-R3-012 | MEDIUM | LFI | PHP wrapper selection by server config - filter → data → expect priority
GAP-R3-013 | LOW | Web Attacks | CSRF prevention bypass techniques missing
GAP-R3-014 | MEDIUM | Enumeration | API endpoint enumeration - REST vs GraphQL vs gRPC detection
GAP-R3-015 | MEDIUM | Web Attacks | HTTP verb tampering priority - POST → PUT → DELETE → HEAD → OPTIONS order
GAP-R3-016 | LOW | File Upload | .htaccess upload RCE for Apache - AddType application/x-httpd-php .jpg

=== READER-4 GAPS: Exploitation & Credentials (40 gaps) ===

GAP-R4-001 | HIGH | Payload Delivery | MSFvenom encoding options - shikata_ga_nai iterations for AV bypass
GAP-R4-002 | HIGH | Payload Delivery | PowerShell IEX+DownloadString fileless execution vs DownloadFile comparison
GAP-R4-003 | HIGH | Payload Delivery | Certutil base64 decode loop syntax and usage
GAP-R4-004 | HIGH | Payload Delivery | BITSADMIN download syntax missing
GAP-R4-005 | HIGH | Credential Dumping | SAM/NTDS/LSA dump workflow - secretsdump vs mimikatz vs VSS copy decision
GAP-R4-006 | HIGH | Credential Attacks | Hash cracking mode mapping - NTLM=1000, NTLMv2=5600, AS-REP=18200, TGS=13100
GAP-R4-007 | HIGH | Brute Forcing | NXC (NetExec) modern credential testing syntax
GAP-R4-008 | MEDIUM | Service Exploitation | FTP anonymous access enumeration decision tree
GAP-R4-009 | HIGH | Service Exploitation | SMB Relay attack workflow - Responder + ntlmrelayx + trigger
GAP-R4-010 | MEDIUM | Service Exploitation | SNMP community string enumeration onesixtyone syntax
GAP-R4-011 | HIGH | Service Exploitation | MSSQL xp_cmdshell enable + execute workflow
GAP-R4-012 | MEDIUM | Service Exploitation | MySQL UDF exploitation steps
GAP-R4-013 | HIGH | Enumeration | OSINT username generation decision - when to switch from generic to custom wordlists
GAP-R4-014 | MEDIUM | Lateral Movement | Kerberoasting SPN hunt + TGS request + hashcat 13100
GAP-R4-015 | HIGH | Lateral Movement | AS-REP roasting workflow - GetNPUsers before password spray
GAP-R4-016 | HIGH | Persistence | Golden Ticket and Silver Ticket creation workflow
GAP-R4-017 | MEDIUM | AD | BloodHound import + key queries + path finding workflow
GAP-R4-018 | HIGH | Pivoting | SOCKS proxy via Meterpreter (autoroute + socks4a) and Chisel comparison
GAP-R4-019 | MEDIUM | Windows PrivEsc | Token impersonation - PrintSpoofer/RoguePotato selection and commands
GAP-R4-020 | MEDIUM | Windows PrivEsc | GPP cpassword extraction and gpp-decrypt usage
GAP-R4-021 | HIGH | Methodology | "Got a hash - what do I do?" decision tree
GAP-R4-022 | HIGH | Methodology | "Found creds - where do I spray?" decision tree - spray order with nxc
GAP-R4-023 | MEDIUM | Web Exploitation | Web shell upload bypass techniques - all bypass categories
GAP-R4-024 | MEDIUM | Post-Exploitation | LOTL binaries command library with actual syntax
GAP-R4-025 | HIGH | Metasploit | Module search and selection decision tree - rank priority
GAP-R4-026 | MEDIUM | Windows PrivEsc | Windows privesc vector enumeration order
GAP-R4-027 | MEDIUM | Linux PrivEsc | Linux privesc vector enumeration order
GAP-R4-028 | HIGH | Lateral Movement | SSH key harvesting and reuse workflow
GAP-R4-029 | MEDIUM | Web Enumeration | Web application vulnerability scanning decision tree
GAP-R4-030 | MEDIUM | Persistence | Persistence mechanism selection - webshell vs backdoor user vs task
GAP-R4-031 | HIGH | Data Exfiltration | Data exfiltration method selection - SMB vs DNS vs HTTP
GAP-R4-032 | MEDIUM | AD Enumeration | AD enumeration from shell - net user, ldapsearch, setspn commands
GAP-R4-033 | MEDIUM | Service Exploitation | RDP NLA bypass and NULL session exploitation
GAP-R4-034 | MEDIUM | Windows Post-Ex | Windows registry enumeration for persistence and creds
GAP-R4-035 | HIGH | Evasion | Windows Defender/AV evasion - AMSI bypass, obfuscation, LOTL
GAP-R4-036 | MEDIUM | Credential Dumping | LSASS dump methods - mimikatz vs procdump vs registry
GAP-R4-037 | HIGH | Lateral Movement | Pass-the-Hash decision tree - which tool for which service
GAP-R4-038 | MEDIUM | AD Attacks | Kerberos delegation attacks (constrained/unconstrained/RBCD)
GAP-R4-039 | MEDIUM | Pivoting | RDP session hijacking and pivoting workflow
GAP-R4-040 | MEDIUM | Cleanup | Evidence cleanup and artifact removal commands

=== READER-5 GAPS: Post-Exploitation & AD (50 gaps) ===

GAP-R5-001 | HIGH | Linux Post-Ex | Credential spray matrix after Linux compromise - test all services
GAP-R5-002 | HIGH | Pivoting | Ligolo-ng not covered - agent-based SOCKS5 reverse proxy
GAP-R5-003 | HIGH | AD Post-Ex | Post-DA spray loop missing - dump hashes → spray new segments immediately
GAP-R5-004 | HIGH | Windows PrivEsc | GodPotato/RoguePotato/PrintSpoofer decision tree by Windows version
GAP-R5-005 | HIGH | Windows PrivEsc | SeBackupPrivilege/SeRestorePrivilege not in privesc decision tree
GAP-R5-006 | MEDIUM | Windows PrivEsc | UAC bypass + DLL hijacking combination chain
GAP-R5-007 | HIGH | AD Enumeration | BloodHound "Shortest Paths to DA" query not emphasized as FIRST action
GAP-R5-008 | HIGH | AD Attacks | Shadow Credentials (PKINIT) attack not covered
GAP-R5-009 | MEDIUM | AD Attacks | Constrained delegation (RBCD) abuse workflow
GAP-R5-010 | MEDIUM | AD Attacks | Unconstrained delegation hunting and TGT extraction
GAP-R5-011 | HIGH | App Attacks | Tomcat manager WAR deploy RCE workflow with commands
GAP-R5-012 | HIGH | App Attacks | Jenkins script console RCE permission checks and Groovy payload
GAP-R5-013 | MEDIUM | App Attacks | GitLab CI/CD pipeline injection for RCE
GAP-R5-014 | MEDIUM | App Attacks | Splunk deployment apps RCE workflow
GAP-R5-015 | HIGH | Pivoting | Double pivot (chained SSH tunnels) step-by-step workflow
GAP-R5-016 | MEDIUM | Pivoting | Proxychains nmap limitations - only -sT works, no -sS/UDP
GAP-R5-017 | MEDIUM | Pivoting | Socat vs SSH vs Chisel decision table
GAP-R5-018 | HIGH | Linux PrivEsc | Writable /etc/passwd exploitation not in decision tree
GAP-R5-019 | HIGH | Linux PrivEsc | Cron wildcard injection (tar/chown) not in decision tree
GAP-R5-020 | MEDIUM | Linux PrivEsc | LD_PRELOAD/LD_LIBRARY_PATH hijacking with sudo env_keep
GAP-R5-021 | MEDIUM | Linux PrivEsc | Python sys.path hijacking for SUID Python scripts
GAP-R5-022 | MEDIUM | Linux PrivEsc | Kernel exploit workflow - uname -r → searchsploit → compile static
GAP-R5-023 | MEDIUM | Linux PrivEsc | NFS no_root_squash not in decision tree - /etc/fstab check
GAP-R5-024 | MEDIUM | Linux PrivEsc | Docker privileged container escape - fdisk -l → mount → chroot
GAP-R5-025 | HIGH | AD Enumeration | Kerberoasting priority - do BEFORE password spray
GAP-R5-026 | HIGH | AD Enumeration | AS-REP roasting emphasis - FIRST step with just username list
GAP-R5-027 | MEDIUM | AD Attacks | Pass-the-Hash tool selection - psexec vs wmiexec vs evil-winrm vs xfreerdp
GAP-R5-028 | MEDIUM | AD Attacks | Golden vs Silver vs Pass-the-Ticket decision table
GAP-R5-029 | MEDIUM | AD Attacks | DCSync prerequisites check - who can perform it
GAP-R5-030 | HIGH | Enterprise | Multi-hop lateral movement workflow - segment A → B → C
GAP-R5-031 | HIGH | Enterprise | Domain trust exploitation workflow - detect → type → forge → escalate
GAP-R5-032 | MEDIUM | Linux PrivEsc | Capabilities (cap_setuid/cap_dac_read_search) not in decision tree
GAP-R5-033 | MEDIUM | Windows PrivEsc | Service misconfigurations (unquoted path) decision tree
GAP-R5-034 | MEDIUM | Windows Post-Ex | Registry credential hunting missing from post-ex enumeration
GAP-R5-035 | MEDIUM | App Attacks | CMS exploitation decision tree - WordPress vs Drupal vs Joomla
GAP-R5-036 | MEDIUM | Web Attacks | File upload → RCE chain explicit workflow
GAP-R5-037 | MEDIUM | Post-Ex | Persistence mechanism decision missing from all modules
GAP-R5-038 | MEDIUM | Recon | Service default credentials matrix (MySQL/MSSQL/Postgres/Redis)
GAP-R5-039 | HIGH | Linux PrivEsc | SUID + GTFObins systematic lookup workflow
GAP-R5-040 | MEDIUM | AD Enumeration | Dangerous groups check before spray - Backup Operators/Account Operators
GAP-R5-041 | MEDIUM | Enterprise | Credential reuse matrix - all services × all passwords systematic approach
GAP-R5-042 | MEDIUM | Windows Post-Ex | Process injection prerequisites and detection
GAP-R5-043 | MEDIUM | Pivoting | Network segmentation discovery on compromised host
GAP-R5-044 | MEDIUM | AD Attacks | Overpass-the-Hash clarification - hash → TGT → TGS chain
GAP-R5-045 | MEDIUM | Linux PrivEsc | SUID + PATH abuse (strace → relative call → /tmp/service)
GAP-R5-046 | MEDIUM | Windows PrivEsc | AlwaysInstallElevated prerequisites and MSI exploit
GAP-R5-047 | MEDIUM | App Attacks | Git repository credential harvesting (git log -p + .env search)
GAP-R5-048 | MEDIUM | Post-Ex | Evidence collection workflow for reporting
GAP-R5-049 | MEDIUM | Recon | DNS zone transfer → internal host mapping (skip pivot if AXFR works)
GAP-R5-050 | MEDIUM | AD Attacks | Nested group membership exploitation workflow
